Activity Type,Max Heart Rate,Elapsed Time,Moving Time,Max Speed,Average Speed,Elevation Gain,Elevation Loss,Elevation Low,Elevation High,Max Grade,Average Grade,Average Positive Grade,Average Negative Grade,Max Cadence,Average Cadence,Max Heart Rate.1,Average Heart Rate,Max Watts,Average Watts,Calories,Commute.1,Average Elapsed Speed,Hour_of_Day,Month,Distance_km,Day_of_Week_Friday,Day_of_Week_Monday,Day_of_Week_Saturday,Day_of_Week_Sunday,Day_of_Week_Thursday,Day_of_Week_Tuesday,Day_of_Week_Wednesday
Walk,0.5669287267,-0.3288599548,-0.3978395219,-0.3390291085,-0.1516544267,-0.3290584462,-0.3226521732,0.7105903357,0.1686318898,-0.3206097834,-0.06982530207,,,0,0,-0.02382295238,0.6478070046,0,0,-0.4356080814,0,0.04158393031,1.311993027,1.45741862,-0.2628667394,1,0,0,0,0,0,0
Walk,0.3416680387,-0.2610724922,-0.2353366745,-0.5249529732,-0.2431763277,-0.2525339857,-0.2916526153,0.6983079579,0.1608480362,-0.08676387229,0.2389523313,,,0,0,-0.02382295238,0.4618183828,0,0,0.2097247564,0,-0.08194564966,-0.5914123365,1.45741862,-0.2140357248,0,0,1,0,0,0,0
Walk,0.6634690215,-0.1528388246,0.07826531175,-0.08605073519,-0.3064756161,-0.05078768078,-0.08129847187,0.6246136911,0.3009574013,1.646446998,0.1360264535,,,0,0,-0.02382295238,0.5031491877,0,0,1.141872189,0,-0.09725923396,0.619845622,1.45741862,-0.1316627107,0,0,1,0,0,0,0
Walk,0.7439192672,-0.1510475008,0.1002174508,-0.2800582462,-0.3423586522,0.144001855,0.1312699257,0.7228727134,0.3009574013,1.137488251,0.08456351461,,,0,0,-0.02382295238,0.5238145901,0,0,0.9446871549,0,-0.1472836093,0.2737719195,1.45741862,-0.1390875272,0,0,0,1,0,0,0
Walk,0.2612177931,-0.2738945992,-0.2795260453,-0.4675723364,-0.33752049,-0.3221016771,-0.3492232229,0.7965669802,0.1997673043,-0.9602471285,0.1874893924,,,0,0,-0.02382295238,0.5031491877,0,0,-0.2563489598,0,-0.3157330365,0.619845622,1.45741862,-0.2424913153,0,0,0,1,0,0,0
Walk,0.3899381862,-0.2385395248,-0.2949210519,-0.1890178363,0.04509750143,0.2158884694,0.1799835168,0.7105903357,1.951134369,0.291516278,0.1360264535,,,0,0,-0.02382295238,0.4618183828,0,0,0.4069097901,0,-0.07582021594,-0.4183754853,-1.125585787,-0.1957380577,0,1,0,0,0,0,0
Walk,0.5186585793,-0.08495708178,0.2975016094,-0.2405676463,-0.3447777333,0.06747739453,0.04048550588,0.6983079579,0.3320928158,0.1539598597,0.1360264535,,,0,0,-0.02382295238,0.3791567731,0,0,1.590019993,0,-0.1289073082,0.4468087707,-1.125585787,-0.08639888471,0,1,0,0,0,0,0
Walk,0.1968575965,-0.362235145,-0.4611301046,-0.5175319209,-0.1641530123,-0.3615233688,-0.3735800185,-1.266872488,-1.248029469,-1.675540504,0.1360264535,,,0,0,-0.02382295238,0.5031491877,0,0,-0.8299781489,0,0.4254444433,1.311993027,-1.125585787,-0.2883583611,0,0,0,0,0,1,0
Walk,0.7921894146,-0.2749316813,-0.2615652042,-0.1838496034,-0.2298713818,-0.2015176787,-0.2030824496,0.7351550912,0.2309027187,0.8830088767,0.03310057572,,,0,0,-0.02382295238,0.6271416022,0,0,0.08424337123,0,-0.02885855744,0.7928824732,-1.125585787,-0.220790297,0,0,0,0,0,1,0
Walk,-0.04449314058,-0.3461132311,-0.4123792503,-0.6158608643,-0.737072049,-0.3615233688,-0.3735800185,-1.266872488,-1.248029469,-1.675540504,0.1360264535,,,0,0,-0.02382295238,0.1725027489,0,0,-0.8837558854,0,-1.025262442,-0.4183754853,-1.125585787,-0.3021802862,0,0,0,0,0,0,1
Walk,0.7921894146,-0.2226061713,-0.03890779401,-0.4033007224,-0.2060837511,-0.3615233688,-0.3735800185,-1.266872488,-1.248029469,-1.675540504,0.1360264535,,,0,0,-0.02382295238,0.8544610289,0,0,0.8909094185,0,0.3192702588,-0.0723017829,-1.125585787,-0.1364661276,0,0,0,0,0,0,1
Walk,0.1807675474,-0.2855853438,-0.3741768266,-0.07173870569,-0.02828129145,-0.2409393705,-0.3359376981,0.747437469,0.3320928158,-0.6094782618,0.6506558424,,,0,0,-0.02382295238,0.275829761,0,0,-0.1846453112,0,-0.225893342,-0.7644491878,-1.125585787,-0.2433477384,0,0,0,0,0,0,1
Walk,0.8887297095,-0.2293000654,-0.1329883899,0.02420489948,-0.3137328594,-0.266447524,-0.2850098528,0.7105903357,0.1452803289,-0.2105646488,0.1360264535,,,0,0,-0.02382295238,0.6478070046,0,0,0.3531320536,0,-0.1442208925,0.4468087707,-1.125585787,-0.1961550985,0,0,0,0,0,0,1
Walk,0.1485874491,-0.2761573239,-0.200840456,-0.4520676378,-0.1839088412,-0.3615233688,-0.3735800185,-1.266872488,-1.248029469,-1.675540504,0.1360264535,,,0,0,-0.02382295238,0.3171605658,0,0,0.3172802293,0,0.3754200679,0.9659193244,-1.125585787,-0.1908378278,0,0,0,0,0,0,1
Walk,1.001360053,-0.2475904238,-0.3411060717,-0.2469285483,0.4373918172,-0.2757232162,-0.2982953777,0.5877665578,0.1219287681,-0.6576230082,0.1360264535,,,0,0,-0.02382295238,0.5858107974,0,0,0.4965393509,0,0.1620507934,-0.5914123365,-1.125585787,-0.1793840988,0,0,0,0,1,0,0
Walk,0.4221182844,-0.1260632482,-0.09222013167,-0.09824246402,-0.08472651674,0.3179210834,0.2685536824,-0.8984011547,1.569725541,1.58454661,0.1360264535,,,0,0,-0.02382295238,0.5444799925,0,0,0.9446871549,0,-0.1625971936,0.619845622,-1.125585787,-0.1236421216,0,0,0,0,1,0,0
Walk,1.210530692,-0.2510787912,-0.3145924492,1.225752784,0.3386126729,-0.1922419865,-0.2163679745,0.6860255801,0.1530641826,0.1952267852,0.1360264535,,,0,0,-0.02382295238,0.7304686143,0,0,0.729576209,0,0.2886430902,-0.5914123365,-1.125585787,-0.1706262411,1,0,0,0,0,0,0
Walk,0.3899381862,-0.1861197346,0.07142308659,-0.4276841801,-0.4612968055,-0.3615233688,-0.3735800185,-1.266872488,-1.248029469,-1.675540504,0.1360264535,,,0,0,-0.02382295238,0.5651453949,0,0,0.5682429996,0,-0.3269629984,1.138956176,-1.125585787,-0.1911282669,1,0,0,0,0,0,0
Walk,0.953089906,-0.2829454982,-0.2684074294,-0.5127612444,-0.2665607782,-0.2710853701,-0.3049381401,0.7105903357,0.1530641826,-0.5613335154,0.2389523313,,,0,0,-0.02382295238,0.813130224,0,0,0.01253972259,0,-0.04621395298,0.9659193244,-1.125585787,-0.2287215202,0,0,1,0,0,0,0
Walk,0.4703884319,-0.2974646487,-0.2875086413,-0.4719454565,-0.3379236702,-0.2826799853,-0.2606530573,0.7105903357,0.2386865724,1.35757852,-0.121288241,,,0,0,-0.02382295238,0.4618183828,0,0,-0.02331210173,0,-0.1166564407,-0.937486039,-1.125585787,-0.2447180155,0,0,0,1,0,0,0
Walk,0.8726396603,-0.1336999443,0.1732011858,-0.2429529845,-0.3254250846,-0.09716614168,-0.04365615148,0.747437469,0.3943636447,-0.1830533651,-0.01836236317,,,0,0,-0.02382295238,0.6064761998,0,0,1.285279486,0,-0.06969478223,0.4468087707,-1.125585787,-0.1116968803,0,0,0,1,0,0,0
Walk,0.3416680387,-0.2606010912,-0.3214346743,0.4501202959,-0.09641874198,-0.2919556775,-0.3071523942,0.7228727134,0.1764157434,0.4428283381,0.1360264535,,,0,0,-0.02382295238,0.6271416022,0,0,0.1917988442,0,-0.2218097195,-0.7644491878,-1.125585787,-0.2260852263,0,1,0,0,0,0,0
Walk,0.8243695129,-0.1929079088,-0.01553019141,-0.126866523,-0.2843007062,-0.16441491,-0.1787256541,0.747437469,0.2153350115,-0.7676681429,0.1360264535,,,0,0,-0.02382295238,0.7924648216,0,0,0.8909094185,0,-0.02579584058,0.2737719195,-1.125585787,-0.1525817774,0,0,0,0,0,1,0
Walk,0.8565496112,-0.1338885047,0.1233099607,-0.1854398289,-0.288332508,-0.09716614168,-0.1211550464,0.7105903357,0.2231188651,0.5184843682,0.1360264535,,,0,0,-0.02382295238,0.8337956264,0,0,1.374909047,0,-0.06459025413,0.4468087707,-1.125585787,-0.1109745059,0,0,0,0,0,0,1
Walk,0.4221182844,-0.3311226795,-0.3909972967,-0.3544012883,-0.141171742,-0.3128259849,-0.3292949357,0.7105903357,0.1141449145,-0.6232339036,0.1360264535,,,0,0,-0.02382295238,0.5444799925,0,0,-0.3997562571,0,0.1998243013,1.485029878,-1.125585787,-0.2594187053,0,0,0,0,1,0,0
Walk,0.373848137,-0.2697462704,-0.4742443694,1.057586437,0.7458246554,-0.3336962923,-0.3713657643,-1.119483955,-0.7809982517,-0.9671249494,0.4448040869,,,0,0,-0.02382295238,0.5444799925,0,0,-0.7762004125,0,-0.7792241878,1.311993027,-1.125585787,-0.2778280797,0,0,0,0,1,0,0
Walk,0.5025685301,-0.2816255754,-0.3604923763,-0.4466343673,-0.05972934554,-0.2826799853,-0.3049381401,0.6983079579,0.2231188651,-0.2036868278,0.1874893924,,,0,0,-0.02382295238,0.6684724071,0,0,-0.1487934869,0,-0.212621569,-0.5914123365,-1.125585787,-0.2396539481,0,0,1,0,0,0,0
Walk,0.9369998569,-0.1655666513,0.0115536165,-0.08949622377,-0.3165551206,-0.1829662944,-0.1875826706,0.6491784467,0.1686318898,-0.06613040955,0.08456351461,,,0,0,-0.02382295238,0.6271416022,0,0,0.9088353306,0,-0.1789316835,0.4468087707,-1.125585787,-0.1548457134,0,0,1,0,0,0,0
Walk,0.2451277439,-0.3194319349,-0.4106686941,-0.4119144439,-0.167781634,-0.3313773692,-0.3470089688,-1.082636822,0.1374964753,0.2433715316,0.1874893924,,,0,0,-0.02382295238,0.2964951634,0,0,-0.4714599057,0,-0.2902103961,-0.7644491878,-1.125585787,-0.2688989374,0,0,0,1,0,0,0
Walk,-1.444327416,-0.1481248146,0.08453735147,-0.2053176477,-0.3609049405,-0.3058692157,-0.3204379191,0.5447782355,0.04409023188,-0.5269444108,0.1360264535,,,0,0,-0.02382295238,-1.460064043,0,0,-0.9375336219,0,-0.2248724364,0.4468087707,-1.125585787,-0.1504444431,0,0,0,1,0,0,0
Walk,0.8082794638,-0.3100039151,-0.362773118,-0.4959313578,-0.1617339312,-0.3313773692,-0.2429390242,-1.03350731,-0.6564565938,-1.042780979,-0.5329917521,,,0,0,-0.02382295238,0.9991188458,0,0,-0.2922007841,0,-0.02885855744,0.4468087707,-1.125585787,-0.2498267659,0,1,0,0,0,0,0
Walk,0.6956491198,-0.3259372686,-0.4004053563,-0.4270215862,-0.09198375999,-0.3360152153,-0.3315091898,0.7105903357,0.1219287681,0.4428283381,-0.06982530207,,,0,0,-0.02382295238,0.6271416022,0,0,-0.3280526085,0,0.04873026964,1.485029878,-1.125585787,-0.2599995836,0,1,0,0,0,0,0
Walk,0.4060282353,-0.2593754486,-0.3182986545,-0.4286118117,-0.2625289764,-0.3105070618,-0.3248664274,0.6737432023,0.1530641826,0.07830382966,0.1360264535,,,0,0,-0.02382295238,0.3791567731,0,0,-0.05916392605,0,-0.4341580884,-0.4183754853,-1.125585787,-0.2443382105,0,0,0,0,0,1,0
Walk,0.373848137,-0.3390422162,-0.4266338861,-0.5484087993,-0.02747493109,-0.2803610623,-0.3115809025,0.6491784467,0.1452803289,0.2433715316,0.4448040869,,,0,0,-0.02382295238,0.7098032119,0,0,-0.3997562571,0,0.1651135103,-0.4183754853,-1.125585787,-0.2683552948,0,0,0,0,0,0,1
Walk,0.5186585793,0.0873871207,0.3174580994,1.023131551,-0.3423586522,0.1254504707,0.1268414174,0.6123313133,0.5500407171,1.247533385,0.08456351461,,,0,0,-0.02382295238,0.6064761998,0,0,1.141872189,0,-0.4709106907,0.2737719195,-1.125585787,-0.07962941813,0,0,0,0,0,0,1
Walk,0.840459562,-0.2715375942,-0.309745873,-0.3361136951,-0.1742325168,-0.2525339857,-0.2739385821,0.4895075355,0.1141449145,1.460745834,0.1360264535,,,0,0,-0.02382295238,0.7511340167,0,0,-0.02331210173,0,-0.1860780229,-0.7644491878,-1.125585787,-0.2306577813,0,0,0,0,1,0,0
Walk,1.001360053,-0.2689920289,-0.2467403831,-0.4397433902,-0.2274523007,-0.2363015244,-0.2540102949,0.6246136911,0.1297126217,0.05767036692,0.1360264535,,,0,0,-0.02382295238,0.7924648216,0,0,0.2635024928,0,-0.02069131249,0.7928824732,-1.125585787,-0.2152496115,0,0,0,0,1,0,0
Walk,0.5186585793,-0.2917135566,-0.3371147736,-0.5440356792,-0.1814897601,-0.3360152153,-0.3381519522,0.7105903357,0.1219287681,-0.8914689193,0.03310057572,,,0,0,-0.02382295238,0.5238145901,0,0,-0.04123801389,0,-0.14013727,-0.5914123365,-1.125585787,-0.2419029898,1,0,0,0,0,0,0
Walk,0.8726396603,-0.2137438327,-0.2225075023,0.09947557315,-0.2847038863,-0.1273121413,-0.05472742218,0.7105903357,0.4488506201,0.5047287264,-0.2242141187,,,0,0,-0.02382295238,0.4618183828,0,0,0.1917988442,0,-0.4035309198,0.7928824732,-1.125585787,-0.2171709783,1,0,0,0,0,0,0
Walk,0.4382083336,-0.2615438932,-0.3271365286,0.5024652186,-0.1871342826,-0.1899230635,-0.2916526153,0.7351550912,0.3554443767,0.8073528466,0.5991929035,,,0,0,-0.02382295238,0.420487578,0,0,-0.07708983821,0,-0.3575901669,-0.937486039,-1.125585787,-0.2387305005,0,0,1,0,0,0,0
Workout,1.081810299,-0.07109789264,0.4192361986,-0.8183495779,-0.7652946617,-0.3615233688,-0.3735800185,-1.266872488,-1.248029469,-1.675540504,0.1360264535,,,0,0,-0.02382295238,0.6271416022,0,0,0.3710579658,0,-1.096725836,-0.2453386341,-1.125585787,-0.3037888723,0,0,1,0,0,0,0
Walk,0.3899381862,-0.3017072577,-0.3556458001,0.2301391017,-0.2044710304,-0.268766447,-0.24072477,0.7228727134,0.2386865724,0.1539598597,-0.2242141187,,,0,0,-0.02382295238,0.6064761998,0,0,-0.2563489598,0,-0.1707644386,0.4468087707,-1.125585787,-0.2510629941,0,0,1,0,0,0,0
Walk,1.033540152,-0.1887595801,-0.03121029072,-0.1578759203,-0.3137328594,-0.2409393705,-0.2429390242,0.7351550912,0.1764157434,-0.3068541416,0.08456351461,,,0,0,-0.02382295238,0.7304686143,0,0,0.837131682,0,-0.1452417981,0.4468087707,-1.125585787,-0.1663664667,0,1,0,0,0,0,0
Walk,0.7921894146,-0.2648437001,-0.2284944493,-0.324054485,-0.2899452287,-0.2015176787,-0.1964396872,0.7105903357,0.2931735477,0.6285295028,0.03310057572,,,0,0,-0.02382295238,0.5858107974,0,0,0.2455765807,0,-0.1166564407,-0.5914123365,-0.8907672047,-0.2199711096,0,0,0,1,0,0,0
Walk,0.6473789724,-0.2446677377,-0.2022659196,-0.2797932086,-0.2335000034,-0.1597770639,-0.1964396872,0.5509194244,0.1608480362,-0.1968090069,0.1874893924,,,0,0,-0.02382295238,0.5444799925,0,0,0.4248357023,0,-0.07990383842,-0.7644491878,-0.8907672047,-0.2009510683,0,0,1,0,0,0,0
Walk,0.2612177931,-0.08995393229,0.2011402718,-0.3903138809,-0.3346982287,-0.02991737337,-0.0392276432,0.7351550912,0.2698219868,-0.01798566314,0.08456351461,,,0,0,-0.02382295238,0.4618183828,0,0,1.195649925,0,-0.2095588521,0.2737719195,-0.8907672047,-0.1080030899,0,0,0,1,0,0,0
Walk,0.9209098077,-0.07147501343,0.2883786425,-0.2397725335,-0.3310696071,0.09066662498,0.0958418594,0.5509194244,0.3554443767,1.577668789,0.08456351461,,,0,0,-0.02382295238,0.6271416022,0,0,1.679649554,0,-0.1523881374,0.2737719195,-0.8907672047,-0.08169972804,0,1,0,0,0,0,0
Walk,0.1807675474,-0.1810286038,-0.002986111956,-0.5135563571,-0.3048628954,-0.1899230635,-0.1742971458,0.6860255801,0.1997673043,0.6285295028,0.03310057572,,,0,0,-0.02382295238,0.3998221755,0,0,1.052242628,0,-0.1095101014,0.4468087707,-0.8907672047,-0.15529999,0,0,0,0,0,1,0
Walk,0.7117391689,-0.172543386,0.03521631182,-0.3007311777,-0.3306664269,-0.03223629642,-0.0392276432,0.4526604021,0.1452803289,0.215860248,0.08456351461,,,0,0,-0.02382295238,0.5651453949,0,0,0.8192057698,0,-0.1350327419,0.619845622,-0.8907672047,-0.1529243467,0,0,0,0,0,0,1
